word,machine,human,label
helps,iranlọwọ,iranlọwọ,positive
felicitous,aladun,aladun,positive
truthfulness,otitọ,otitọ,positive
superfluous,apọju,àpọ̀jù,negative
debility,ailera,àìlera,negative
deceitful,arekereke,àrékérekè,negative
abounds,pọ,pọ,positive
amiss,aṣiṣe,àṣìṣe,negative
exhilarates,exhilarates,igbadun,positive
manipulate,ifọwọyi,ìfọwọ́yí,negative
shine,tàn,tàn,positive
disparity,iyapa,àìdọ́gba,negative
finally,nipari,nipari,positive
desire,ifẹ,ifẹ,positive
gladly,inu didun,inu didun,positive
contrary,ilodi si,lòdìsí,negative
falsity,iro,èké,negative
disparaging,disparaging,aláìgbọràn,negative
drags,fa,fà,negative
prosecute,ṣe idajọ,ṣe ìdájọ́,negative
vacancy,aaye,àyè,negative
diminish,dín,dínkù,negative
hypocrisy,agabagebe,àgàbàgebè,negative
gallant,gallant,nigboiya,positive
mother,iya,ìyá,negative
incomparably,lafiwe,àìláfiwé,negative
ultra-hardline,olekenka-lile,aláìyípada,negative
limits,ifilelẹ lọ,òté,negative
failure,ikuna,ìkùnà,negative
accredited,gbayì,gbayì,positive
snob,snob,ènìyàn yẹpẹrẹ,negative
crying,ẹkún,ẹkún,negative
bugging,kikopa,kòkòrò,negative
supportive,atilẹyin,atilẹyin,positive
procedure,ilana,ilana,positive
ambassador,aṣoju,aṣoju,positive
correction,atunse,àtúnṣe,negative
sisterhood,arabinrin,arabinrin,positive
conviction,idalẹjọ,ìdálẹ́bi,negative
regretful,banuje,àbámọ̀,negative
phony,airoju,ayédèrú,negative
insincerity,aigbagbọ,àìṣòótọ́,negative
gaunt,gaunt,rù,negative
bouquet,oorun didun,òórùn dídùn,positive
fatty,ọra,ọ̀rá,negative
recidivism,atunkọ,ìdẹ́sẹ̀,negative
grievously,ibanuje,ìbànújẹ́,negative
god-awful,ọlọrun-buruju,búburú,negative
evacuation,sisilo,ìjáde-kúrò,negative
swearing,ibura,ìbúra,negative
hell-bent,apaadi-tẹ,ìpinnu líle,negative
nicer,dara julọ,dara julọ,positive
throbs,ọfun,lù,negative
quandary,idaamu,ìdààmú,negative
starves,ebi,fi ebi pa,negative
knave,knave,ọmọ-ọ̀dọ̀ ọkùnrin,negative
argumentative,àríyànjiyàn,àríyànjiyàn,negative
remarkable,o lapẹẹrẹ,o lapẹẹrẹ,positive
expect,reti,reti,positive
brazenness,igboya,ìgboyà,negative
spontaneous,lẹẹkọkan,lẹẹkọkan,positive
methodical,ọna,ọna,positive
gnawing,gnawing,nira,negative
complementary,tobaramu,tobaramu,positive
chronic,onibaje,burú jáì,negative
vindictive,ẹsan,dáláre,negative
autocrat,autocrat,kànńpá,negative
flow,ṣàn,ṣàn,positive
educate,kọ ẹkọ,kọ ẹkọ,positive
agitated,binu,bínú,negative
exposes,ṣipaya,ṣí payá,negative
skeptic,oníyèméjì,oníyèméjì,negative
saintly,mimo,mimo,positive
rhapsodize,rhapsodize,ìrúkèrúdò,negative
gritty,gritty,ọ lọ́kàn líle,negative
disparage,disparage,aláìgbọràn,negative
stud,okunrinlada,okunrinlada,positive
notion,iro,iro,positive
ailing,aisan,àìsàn,negative
deflate,dojuti,jò,negative
zenith,zenith,oke patapata,positive
tremor,iwariri,ìwárírì,negative
fresh,alabapade,alabapade,positive
restructuring,atunṣeto,atunto,positive
recherche,atunkọ,ko  wọpọ,positive
excise,excise,owó-orí,negative
deliverance,itusile,itusile,positive
error,aṣiṣe,àṣìṣe,negative
frowning,frowning,lejú,negative
crisp,agaran,rún,negative
prop,atilẹyin,atilẹyin,positive
hypocrite,agabagebe,alágàbàgebè,negative
messes,idotin,ìdọ̀tí,negative
pardoned,dariji,dariji,positive
grapple,dojuko,fi agbára mú,negative
conciliated,gbìyànjú,laja,positive
fallen,ṣubu,ṣubú,negative
toothache,eyin ehin,eyín-dídùn,negative
enslavement,ẹrú,ìmúnilẹ́rú,negative
capriciousness,capriciousness,àìnídánilójú,negative
forfeiture,idasilẹ,ìpàdánù,negative
well-rounded,daradara-yika,daradara-yika,positive
aching,irora,ìrora,negative
underpowered,lágbára,aláìlágbára,negative
damnable,ẹlẹbi,ẹlẹ́bi,negative
hurts,dun,dùn,negative
bath,iwẹ,iwẹ,positive
falsification,iro,irọ́,negative
murderous,apànìyàn,apànìyàn,negative
moans,moans,ìdárò,negative
stew,ipẹtẹ,ọbẹ̀ ata,negative
allay,allay,wosan,positive
bier,apoti,àga,negative
kindly,jowo,inurere,positive
cull,cull,ẹ̀kọ̀,negative
loved,feran,feran,positive
attest,jẹri,jẹri,positive
demonstrable,afihan,afihan,positive
warrior,jagunjagun,jagunjagun,positive
haste,kánkán,kánkán,negative
villainously,villainously,níwà búburú,negative
stabs,ọbẹ,gún,negative
chowder,akápò,akákpò,positive
wear,wọ,wọ̀,negative
unrelentingly,alaigbọran,láìtẹ̀tì,negative
store,itaja,ko-jọ,positive
smear,ṣan,ṣan,negative
effusive,agbara,to tujade,positive
torrent,odò,àgbàra òjò,negative
exigent,exigent,àfiyèsí,negative
carnal,ti ara,ara,negative
gasp,mimi gulegule,mínmín gúlegúle,negative
malignancy,buburu,búburú,negative
cares,bikita,bikita,positive
discontinue,dawọ duro,dádúró,negative
dreadfulness,ẹru,ẹ̀rù,negative
hegemonistic,hegemonistic,ìjẹgàba,negative
skimpy,skimpy,aṣọ kékeré,negative
potency,agbara,agbara,positive
count,ka,ka,positive
lifesaver,igbala,igbala,positive
careful,ṣọra,ṣọra,positive
futurestic,ojo iwaju,ojo iwaju,positive
misdirection,aiṣedeede,ìṣìlọ́nà,negative
copycat,idaako,aláwòṣe,negative
significant,pataki,pataki,positive
cancelling,ifagile,ìfagilé,negative
alone,nikan,nìkan,negative
abducted,jí gbé,jí gbé,negative
underwrite,atunkọ,atunkọ,positive
happily,inudidun,inudidun,positive
rollercoaster,rola kosita,onírúurú,negative
gag,gag,Ọlọ́run!,negative
electric,itanna,ina,positive
usual,deede,atẹyinwa,positive
compatibility,ibamu,ibamu,positive
ecstatically,ecstatically,ayọ pupọ,positive
reaffirm,tun fi idi re mule,tun fi idi re mule,positive
gripe,gripe,ṣàròyé,negative
manipulating,ifọwọyi,ìfọwọ́yí,negative
destroys,ìparun,ìparun,negative
ridicules,ẹgan,ẹ̀gàn,negative
astute,ọlọgbọn,ọlọgbọn,positive
supurbly,supurbly,ti àyíkí,positive
liability,layabiliti,gbèsè,negative
onerously,làákàyè,àjàgà,negative
concealed,pamọ,pamọ́,negative
quarrel,ìjà,ìjà,negative
enthuse,moriwu,moriwu,positive
rust,ipata,dógùn-ún,negative
miraculous,iyanu,iyanu,positive
excruciating,iyalẹnu,ìyàlẹ́nu,negative
