word,machine,human,label,emotion_intensity_score
outraged,ibinu,ìbínú,anger,0.964
brutality,iwa ika,Ìwà ìkà,anger,0.959
hatred,ikorira,ìkóríra,anger,0.953
hateful,korira,kóríra,anger,0.94
terrorize,dẹruba,dẹ́rùbà,anger,0.939
infuriated,binu,bínú,anger,0.938
violently,agbara,agbára,anger,0.938
furious,ibinu,inú fùfù,anger,0.929
enraged,binu,ìrunú,anger,0.927
furiously,ni ibinu,ní ìbínú,anger,0.927
screwyou,Lo ku sigbo,*****,anger,0.924
murderer,apànìyàn,apànìyàn,anger,0.922
fury,ibinu,ìbínú,anger,0.922
execution,ipaniyan,ìpànìyàn,anger,0.917
angered,binu,bínú,anger,0.916
savagery,iwa ika,ìwà ìkà,anger,0.915
slaughtering,pipa,dídú,anger,0.914
veryangry,veryangry,bínú lọ́pọ̀lọpọ̀,anger,0.913
assassinate,apànìyàn,ṣekúpa,anger,0.912
fuckoff,fuckoff,Mi fẹ́ rí ẹ/ kúrò níbí,anger,0.912
annihilation,ìparun,ìparun,anger,0.912
rage,ibinu,ìbínú,anger,0.911
loathe,korira,kórira,anger,0.909
damnation,idalẹjọ,ìdálẹ́jọ́,anger,0.906
roadrage,ọna opopona,ọ̀nà òpópónà,anger,0.906
fucktard,onibaje,Oníbàjẹ́,anger,0.906
homicidal,apaniyan,ìpànìyàn,anger,0.906
furor,ariwo,ariwo,anger,0.9
hostile,alatako,alátakò,anger,0.898
annihilate,parun,parun,anger,0.898
murder,ipaniyan,pànìyàn,anger,0.897
raging,ibinu,bíbínú,anger,0.896
sopissed,dunnu,bínú púpọ̀,anger,0.894
pissed,binu,bínú,anger,0.894
rape,ifipabanilopo,ìfipábánilòpọ̀,anger,0.894
explosive,ibẹjadi,ìbẹ́jáde,anger,0.894
obliterated,parun,parun,anger,0.894
vengeful,ẹsan,ẹ̀san,anger,0.894
ferocious,oniwa,oníwà,anger,0.894
infuriates,infuriates,múnúbí,anger,0.894
killing,pipa,pípa,anger,0.893
combative,ija,tìjà,anger,0.891
gofuckyourself,gofuck ara rẹ,Lọ ṣe ara ẹ̀,anger,0.886
