word,machine_translation,human_translation,machine_translation_updated
gaol,gaol,túbú,túbú
shanghai,shanghai,ìjínigbé,ìjínigbé
crazily,iyalenu,ìṣiwèrè,ìṣiwèrè
impertinent,aiṣedeede,àìmọ̀wáhù,àìmọ̀wáhù
lion,kiniun,,kiniun
cure,imularada,,imularada
fortitude,igboya,,igboya
senselessly,lainidi,láìnídìí,láìnídìí
buoy,buoy,lefo,lefo
lessen,dinku,dínkù,dínkù
anchor,oran,idakọro,idakọro
exposes,ṣipaya,ṣí payá,ṣí payá
benefitted,anfaani,jẹ anfani,jẹ anfani
viewable,wiwo,,wiwo
haywire,haywire,àìlèṣàkóso,àìlèṣàkóso
annoyances,ibanuje,Ìbínú,Ìbínú
defeat,ijatil,ìjákulẹ̀,ìjákulẹ̀
debatable,ariyanjiyan,àríyànjiyàn,àríyànjiyàn
lags,lags,àìsùn,àìsùn
combust,ijona,jóná,jóná
bounty,oore -ofe,ẹbùn iṣeun,ẹbùn iṣeun
pacific,pacific,tutu,tutu
daredevil,daredevil,alainibẹru,alainibẹru
well-established,daradara-mulẹ,duro shinshin,duro shinshin
abhor,korira,kórìíra,kórìíra
infraction,aiṣedede,ẹ̀sẹ̀,ẹ̀sẹ̀
retraction,ifasẹhin,ìkọ́rọ̀jẹ,ìkọ́rọ̀jẹ
imprisoned,ewon,ẹ̀wọ̀n,ẹ̀wọ̀n
hysteric,hysteric,ẹ̀rín àrínpojúdé,ẹ̀rín àrínpojúdé
alive,laaye,,laaye
revives,sọji,,sọji
hooliganism,hooliganism,jàǹdúkú,jàǹdúkú
discard,danu,dànù,dànù
ftw,ftw,ègbé ni fáyé,ègbé ni fáyé
standstill,iduro,ìdúró,ìdúró
chocolate,chocolate,ṣokoleti,ṣokoleti
adjustable,adijositabulu,tunṣe,tunṣe
wrinkled,wrinkled,hunjọ,hunjọ
bid-rigging,idu-rigging,idu-rigging,idu-rigging
sprite,sprite,onídán,onídán
bashed,bashed,gbá pẹ̀lú agbára,gbá pẹ̀lú agbára
unjustified,lare,àìlèdáláre,àìlèdáláre
conspicuously,ni gbangba,ni gbangba,ni gbangba
disgrace,itiju,ìtìjú,ìtìjú
discriminatory,iyasoto,ìyàsọ́tọ̀,ìyàsọ́tọ̀
rattled,riru,ariwo,ariwo
aborted,oyun,ti yọ oyún,ti yọ oyún
skeptic,oníyèméjì,oníyèméjì,oníyèméjì
inhospitable,alailera,àìkónimọ́ra,àìkónimọ́ra
ill-conceived,alaimọ-loyun,èrò búburú,èrò búburú
best-known,ti o mọ julọ,,ti o mọ julọ
strain,igara,fún pẹ̀lú agbára,fún pẹ̀lú agbára
cigarette,sìgá,tábà,tábà
indiscreet,aibikita,àìbìkítà,àìbìkítà
interferes,interferes,dá sí,dá sí
crabby,crabby,ìkórìíra,ìkórìíra
slogged,slogged,gbá pẹ̀lú ìbínú,gbá pẹ̀lú ìbínú
downturn,irẹwẹsi,ìrẹ̀wẹ̀sì,ìrẹ̀wẹ̀sì
phoenix,Fenisiani,eyan olowo,eyan olowo
anarchist,anarchist,rúdurùdu,rúdurùdu
defeat,ijatil,ṣẹgun,ṣẹgun
eagerly,ni itara,,ni itara
malevolent,aṣebiakọ,oníwà búburú,oníwà búburú
retreated,padasehin,padà sẹ́hìn,padà sẹ́hìn
utility,ohun elo,,ohun elo
disvalue,yiyọ,àìníye,àìníye
likable,feran,,feran
whirlwind,ìjì líle,ìjì líle,ìjì líle
quiz,adanwo,ìdánwò,ìdánwò
tribute,oriyin,,oriyin
charger,ṣaja,,ṣaja
satisfy,ni itẹlọrun,tẹlọrun,tẹlọrun
overestimated,apọju,àpọ́njù,àpọ́njù
mutiny,ipaniyan,ọ̀tẹ̀,ọ̀tẹ̀
stone,okuta,òkúta,òkúta
rhetoric,aroye,àròyé,àròyé
cyanide,cyanide,májèlé,májèlé
skillful,ọlọgbọn,,ọlọgbọn
awaits,nduro,Ń dúró,Ń dúró
detract,dena,yọ kúrò,yọ kúrò
discompose,yọ kuro,dàrú,dàrú
disappears,farasin,farasin,farasin
dwindling,dinku,dínkù,dínkù
notoriety,ogbontarigi,,ogbontarigi
shares,mọlẹbi,pin,pin
regard,iyi,,iyi
dazzle,dazzle,dan manran,dan manran
lagged,aisun,àìsùn,àìsùn
tough,alakikanju,lágbára,lágbára
lucid,lucid,ọlọgbọn,ọlọgbọn
painlessly,laisi irora,,laisi irora
nauseatingly,ríru,ríru,ríru
thirsty,ongbẹ,òùngbẹ,òùngbẹ
revival,isoji,,isoji
sufferer,olufaragba,olùfaragbá,olùfaragbá
recline,jókòó,fi ara ti,fi ara ti
sunny,oorun,,oorun
indifference,aibikita,áìbìkítà,áìbìkítà
possession,ini,ìní,ìní
oblique,oblique,ṣókùnkùn,ṣókùnkùn
obscure,ibitiopamo,ibi tí ó pamọ́,ibi tí ó pamọ́
bragger,agbéraga,agbéraga,agbéraga
cathartic,cathartic,jẹ́ ìrẹ̀sílẹ̀ ti orí,jẹ́ ìrẹ̀sílẹ̀ ti orí
swelling,wiwu,wíwú,wíwú
dumped,dànù,dànù,dànù
lie,irọ,irọ́,irọ́
thrills,awọn igbadun,dani lorun,dani lorun
culpability,ẹbi,ẹ̀bi,ẹ̀bi
opposition,atako,àtakò,àtakò
top,oke,,oke
disreputable,disreputable,aláìlórúkọ rere,aláìlórúkọ rere
jackasses,jackasses,akọ kẹ́tẹ́kẹ́tẹ́,akọ kẹ́tẹ́kẹ́tẹ́
worsens,buru sii,burú síi,burú síi
subjugate,tẹriba,tẹríba,tẹríba
incurable,alailera,àìlèwòsàn,àìlèwòsàn
loving,ife,nifẹ,nifẹ
burglary,ole jija,olè-jíjà,olè-jíjà
fee,ọya,owó,owó
deserving,yẹ,,yẹ
harassed,ni tipatipa,tàbùkù,tàbùkù
cleanest,mimọ julọ,,mimọ julọ
paradise,paradise,orun,orun
divine,Ibawi,atorunwa,atorunwa
proprietary,ohun -ini,ohun ìní,ohun ìní
victorious,asegun,,asegun
intense,kikankikan,,kikankikan
fatalities,awọn apaniyan,àwọn apànìyàn,àwọn apànìyàn
included,to wa,,to wa
razor-sharp,felefele-didasilẹ,mu,mu
pseudoscience,pseudoscience,ìmọ̀ síyẹ́ǹsì,ìmọ̀ síyẹ́ǹsì
exalting,gbega,,gbega
impurity,alaimọ,àìmọ́,àìmọ́
worryingly,ni aibalẹ,láìbalẹ̀-ọkàn,láìbalẹ̀-ọkàn
dazzled,dazzled,dan manran,dan manran
maladjusted,aiṣedeede,àìlèfaradà,àìlèfaradà
prevention,idena,,idena
surcharge,afikun owo,owó-àsánlé,owó-àsánlé
petrified,petrified,ẹ̀rù,ẹ̀rù
drawbacks,drawbacks,ìfàsẹ́yìn,ìfàsẹ́yìn
labyrinth,labyrinth,ìrújú,ìrújú
panier,panier,duro,duro
selfinterested,selfinterested,ní nífẹ̀ẹ́ ara ẹni,ní nífẹ̀ẹ́ ara ẹni
inconceivably,lairotẹlẹ,àìròtẹ́lẹ̀,àìròtẹ́lẹ̀
earnestly,tọkàntọkàn,,tọkàntọkàn
drowsiness,irọra,oorun,oorun
picky,iyan,ṣààyàn,ṣààyàn
angriness,ibinu,ìbínú,ìbínú
inferiority,irẹlẹ,àìgbàgbọ́ nínú ara ẹni,àìgbàgbọ́ nínú ara ẹni
immovable,aidibajẹ,,aidibajẹ
commonwealth,apapọ orilẹ -ede,,apapọ orilẹ -ede
lying,irọ,ń parọ́,ń parọ́
stupendous,omugo,niyanu,niyanu
troll,troll,rọkiriká,rọkiriká
upscale,oke,gbe soke,gbe soke
bullies,afòòró ẹni,afòòró ẹni,afòòró ẹni
witch,ajẹ,àjẹ́,àjẹ́
forthcoming,ti n bọ,,ti n bọ
gory,gory,ẹ̀jẹ̀,ẹ̀jẹ̀
loathly,korira,ìkórìíra,ìkórìíra
gossip,olofofo,olófòófó,olófòófó
mania,mania,ìṣiwèrè,ìṣiwèrè
vivid,han gidigidi,,han gidigidi
lackey,lackey,ọmọ-ọ̀dọ̀ ọkùnrin,ọmọ-ọ̀dọ̀ ọkùnrin
sickness,aisan,àìsàn,àìsàn
quote,agbasọ,,agbasọ
alert,gbigbọn,ìtanilólobó,ìtanilólobó
righteous,olododo,,olododo
lukewarm,ko gbona,kò gbóná kò tutù,kò gbóná kò tutù
prove,fi mule,,fi mule
educational,ẹkọ,,ẹkọ
gorilla,gorilla,ìnàkí,ìnàkí
solution,ojutu,,ojutu
time-honored,akoko-lola,tipẹtipẹ,tipẹtipẹ
backwards,arinsehin,ìfàsẹ́yìn,ìfàsẹ́yìn
audacity,igboya,ìgboyà,ìgboyà
workable,ṣiṣẹ,,ṣiṣẹ
accomplished,ti pari,,ti pari
handicapped,alaabo,ìdíwọ́,ìdíwọ́
resent,binu,kórìíra,kórìíra
haphazard,haphazard,dídàrú,dídàrú
sigh,ìmí ẹ̀dùn,ìmí ẹ̀dùn,ìmí ẹ̀dùn
polished,didan,dan,dan
hairloss,irun didi,ìpàdánù irun,ìpàdánù irun
perilous,ewu,ewu,ewu
downheartedly,pẹlu aibanujẹ,ìbànújẹ́,ìbànújẹ́
disappoints,ibanuje,ìjákulẹ̀,ìjákulẹ̀
vexation,ibinu,ìbínú,ìbínú
captivated,captivated,fa ifẹ,fa ifẹ
calumnious,ẹlẹtan,ìbánilórúkọjẹ́,ìbánilórúkọjẹ́
lucky,orire,,orire
fallaciousness,itanjẹ,ìtànjẹ,ìtànjẹ
crept,jijo,rá,rá
curse,eegun,èègún,èègún
oust,yọ kuro,yọkúrò,yọkúrò
ruins,ahoro,bàjẹ́,bàjẹ́
valiantly,akin,,akin
benefits,anfani,awọn anfani,awọn anfani
screamed,pariwo,pariwo,pariwo
honesty,otitọ,,otitọ
mercenary,adota,alágbàṣe,alágbàṣe
precariously,precariously,ewu,ewu
tinsel,tinsel,ìsẹ̀sọ́,ìsẹ̀sọ́
landed,ilẹ,,ilẹ
feint,feint,ìdínbọ́n,ìdínbọ́n
polish,pólándì,,pólándì
