word,machine_translation,human_translation,label,emotion_intensity_score
outraged,were oke iwe,were oke iwe,anger,0.964
brutality,obi ojoo,obi ọjọọ,anger,0.959
hatred,ịkpọasị,ịkpọasị,anger,0.953
hateful,ịkpọasị,ịkpọasị,anger,0.94
terrorize,egwu,egwu,anger,0.939
infuriated,were iwe,were iwe,anger,0.938
violently,n'ike,n'ike,anger,0.938
furious,na -ewe oke iwe,oke iwe,anger,0.929
enraged,were oke iwe,were oke iwe,anger,0.927
furiously,n'iwe,n'oke iwe,anger,0.927
screwyou,zuzupụọ,zuzupụọ,anger,0.924
murderer,ogbu mmadu,ogbu mmadụ,anger,0.922
fury,iwe,oke iwe,anger,0.922
execution,ogbugbu,ogbugbu,anger,0.917
angered,were iwe,were iwe,anger,0.916
savagery,anụ ọhịa,ịgba ajọ,anger,0.915
slaughtering,ogbugbu,ogbugbu,anger,0.914
veryangry,ime mmụọ,Ezigbo iwe,anger,0.913
assassinate,gbuo,gbuo,anger,0.912
fuckoff,iberibe,iberibe,anger,0.912
annihilation,mkpochapu,mkpochapụ,anger,0.912
rage,ọnụma,ọnụma,anger,0.911
loathe,na -asọ oyi,na -asọ oyi,anger,0.909
damnation,ọmụma ikpe,ọmụma ikpe,anger,0.906
roadrage,okporo ụzọ,ajọ iwe,anger,0.906
fucktard,fucktard,onye iberibe,anger,0.906
homicidal,igbu mmadu,igbu mmadụ,anger,0.906
furor,iwe iwe,iwe iwe,anger,0.9
hostile,onye iro,onye iro,anger,0.898
annihilate,ikpochapu,ikpochapụ,anger,0.898
murder,igbu ọchụ,igbu mmadụ,anger,0.897
raging,na -ewe iwe,na -ewe iwe,anger,0.896
sopissed,obi ụtọ,iwe,anger,0.894
pissed,were iwe,iwe,anger,0.894
rape,ndina n'ike,ndina n'ike,anger,0.894
explosive,ihe mgbawa,ihe mgbawa,anger,0.894
obliterated,kpochapụrụ,kpochapụrụ,anger,0.894
vengeful,na -abọ ọbọ,kemmegbu,anger,0.894
ferocious,dị egwu,dị egwu,anger,0.894
infuriates,na -ewe iwe,nkpasu iwe,anger,0.894
killing,na -egbu,na -egbu,anger,0.893
combative,na -alụ ọgụ,Arịọ,anger,0.891
gofuckyourself,gofuck onwe gị,ga zuzube,anger,0.886
vengeance,ịbọ ọbọ,ịbọ ọbọ,anger,0.886
wrath,iwe,ọnụma,anger,0.885
torment,mmekpa ahụ,ntaramahụhụ,anger,0.885
vicious,obi ojoo,obi ọjọọ,anger,0.884
threatening,egwu,iyi egwu,anger,0.882
massacre,mgbuchapụ,mgbuchapụ,anger,0.882
bloodthirsty,ndị ọbara na -agụ,ndị ọbara na -agụ,anger,0.875
abhorrent,na -asọ oyi,na -asọ oyi,anger,0.875
pissoff,pissoff,ikpasu iwe,anger,0.875
fighting,na -alụ ọgụ,na -alụ ọgụ,anger,0.868
annihilated,ikpochapu,ikpochapu,anger,0.865
attacking,na -awakpo,na -awakpo,anger,0.865
angriest,na -ewe oke iwe,na -ewe oke iwe,anger,0.864
bloodshed,mwụfu ọbara,mwụfu ọbara,anger,0.864
smite,tie,isogbu,anger,0.862
brawl,ọgụ,ọgụ,anger,0.861
assault,mwakpo,mwakpo,anger,0.859
assassination,ogbugbu,ogbugbu,anger,0.859
strangle,nyagbu,ndọgbu,anger,0.859
explode,gbawaa,gbawaa,anger,0.859
malicious,obi ojoo,obi ọjọọ,anger,0.859
tirade,tirade,okwu mmegide,anger,0.859
hostility,iro,iro,anger,0.859
loathsome,na -asọ oyi,na -asọ oyi,anger,0.857
attack,mwakpo,mwakpo,anger,0.853
hell,hell,ọkụ mmụọ,anger,0.853
murderous,na -egbu ọchụ,na -egbu ọchụ,anger,0.853
malice,obi ojoo,obi ọjọọ,anger,0.852
terrorism,iyi ọha egwu,iyi ọha egwu,anger,0.851
beating,na -eti,na-eti ihe,anger,0.849
pissingmeoff,na -atọ m ụtọ,ikpasum iwe,anger,0.848
desecration,mmerụ,egosighị nsọpụrụ,anger,0.848
outrage,iwe,iwe,anger,0.848
irate,iwe,iwe,anger,0.844
tumultuous,aghara,aghara,anger,0.844
destroying,na -ebibi,na -ebibi,anger,0.844
violent,na -eme ihe ike,na -eme ihe ike,anger,0.844
stab,igwu,igwunye,anger,0.844
infuriate,iwe iwe,ịkpasu iwe,anger,0.844
slaughter,ogbugbu,ogbugbu,anger,0.844
abomination,ihe arụ,arụ,anger,0.844
obliterate,kpochapụ,kpochapụ,anger,0.843
dumbbitch,ogbi,ogbi,anger,0.841
belligerent,na -alụ ọgụ,na -alụ ọgụ,anger,0.841
detest,ihe arụ,ịkpọ asi,anger,0.838
hostilities,ibu agha,ibu agha,anger,0.837
prick,prick,mmetọ,anger,0.835
cruelty,obi ojoo,obi ọjọọ,anger,0.833
horrid,egwu,mmefe oke,anger,0.833
rampage,mwakpo,mwakpo,anger,0.833
rabid,enweghị isi,enweghị isi,anger,0.833
torture,ahụhụ,ntaramahụhụ,anger,0.833
satanic,satanic,mmụọ ọjọọ,anger,0.828
hate,ịkpọasị,ịkpọasị,anger,0.828
hating,ịkpọ asị,ịkpọ asị,anger,0.828
tyrannical,aka ike,aka ike,anger,0.828
demonic,ndị mmụọ ọjọọ,ndị mmụọ ọjọọ,anger,0.828
ragemode,iwe iwe,iwe iwe,anger,0.828
despicable,ihe arụ,ihe arụ,anger,0.828
ruinous,mbibi,mbibi,anger,0.825
condemn,maa ikpe,maa ikpe,anger,0.825
extermination,mkpochapu,mkpochapu,anger,0.824
riots,ọgba aghara,ọgba aghara,anger,0.824
dickhead,dickhead,onye iberibe,anger,0.824
angry,were iwe,were iwe,anger,0.824
demolish,kwatuo,kwatuo,anger,0.824
livid,livid,oke iwe,anger,0.821
madman,onye ara,onye ara,anger,0.82
vindictive,imegwara,imegwara,anger,0.819
ferocity,ferocity,oke iwe,anger,0.818
terrorist,onye na -eyi ọha egwu,onye na -eyi ọha egwu,anger,0.818
venomous,nsi,nsi,anger,0.818
threaten,egwu,iyi egwu,anger,0.818
hateyou,kpọrọ gị asị,kpọrọ gị asị,anger,0.818
effyou,efu,efyu,anger,0.818
abhor,akparị,ịkpọ asi,anger,0.816
carnage,ogbugbu,ogbugbu,anger,0.814
savage,obi tara mmiri,aka ike,anger,0.814
atrocity,arụrụala,arụrụala,anger,0.814
fuming,na -agba ume,oke iwe,anger,0.812
pissedoff,were ya iwe,were ya iwe,anger,0.812
pissesmeoff,obi ụtọ,na-ewem iwe,anger,0.812
fierce,dị egwu,ike ike,anger,0.812
abuse,mmegbu,mmegbu,anger,0.812
barbaric,arụrụala,arụrụala,anger,0.812
berserk,arụ ọrụ,onyeagha,anger,0.812
fucksake,fucksake,nzuzu,anger,0.812
vendetta,vendetta,ọgbaghara,anger,0.812
angrytweet,iwe iwe,iwe iwe,anger,0.812
destroyer,onye mbibi,onye mbibi,anger,0.812
tyrant,onye ọchịchị aka ike,onye ọchịchị aka ike,anger,0.812
anger,iwe,iwe,anger,0.811
pieceofshit,ibe ibe,enweghị ugwu,anger,0.81
slam,slam,ikwachi n'ike,anger,0.803
punching,ịkụ ọkpọ,ịkụ ọkpọ,anger,0.803
homicide,igbu ọchụ,igbu ọchụ,anger,0.803
punched,ọkpọ,ọkpọ,anger,0.803
bitch,nkịta,anụọhịa,anger,0.803
fights,ịlụ ọgụ,ịlụ ọgụ,anger,0.803
destructive,na -ebibi ihe,na -ebibi ihe,anger,0.797
ruthless,obi tara mmiri,obi tara mmiri,anger,0.797
villainous,onye ọjọọ,jọrọ njọ,anger,0.797
slap,tie aka,tie aka,anger,0.791
destroyed,bibiri,bibiri,anger,0.788
ragetweet,ragetweet****,ragetweet,anger,0.788
slaughterhouse,ụlọ ogbugbu,ụlọ ogbugbu,anger,0.788
retaliatory,mmegwara,mmegwara,anger,0.788
yelling,iti mkpu,iti mkpu,anger,0.788
riot,ọgba aghara,ọgba aghara,anger,0.788
punishing,na -ata ahụhụ,na -ata ahụhụ,anger,0.788
growthefuckup,na -eto eto,na -eto eto,anger,0.788
diabolical,nke mmụọ,ndị mmụọ ọjọọ,anger,0.788
clash,nsogbu,nsogbu,anger,0.783
manslaughter,igbu mmadu,igbu mmadu,anger,0.783
hellish,hellish,ndị mmụọ ọjọọ,anger,0.781
bloody,ọbara,ọbara,anger,0.781
loath,asọpụrụ,unwilling,anger,0.781
quarrel,esemokwu,esemokwu,anger,0.781
detonation,mwepu,igbawa,anger,0.781
sinister,ihe ojoo,ihe ọjọọ,anger,0.781
hateeee,asịeee,ịkpo oke asị,anger,0.779
treacherous,onye aghụghọ,onye aghụghọ,anger,0.779
accusing,na -ebo ebubo,na -ebo ebubo,anger,0.779
madder,onye ara,onye ara,anger,0.773
retaliate,imegwara,imegwara,anger,0.773
revulsion,ntughari,ntụgharị,anger,0.773
horrific,egwu,iyi egwu,anger,0.773
scorn,nlelị,nlelị,anger,0.769
bomb,bombu,bọmbụ,anger,0.766
deplorable,ihe ojoo,ihe ihere,anger,0.766
anarchist,onye anarchist,onye ọda iwu,anger,0.765
devastation,mbibi,mbibi,anger,0.765
resent,iwe iwe,obi ilu,anger,0.765
firestorm,mgbanyụ ọkụ,mgbanyụ ọkụ,anger,0.765
contemptible,eleda anya,eleda anya,anger,0.764
shittest,nke kacha njọ,nke kacha njọ,anger,0.76
smash,gbajie,imebisi,anger,0.758
deadly,na -egbu egbu,na -egbu egbu,anger,0.758
soangry,soangry,nnukwu iwe,anger,0.758
rant,mkpu,mkpu,anger,0.758
cruel,obi ojoo,obi ọjọọ,anger,0.758
outburst,oké iwe,oké iwe,anger,0.757
snarl,snara,snarl,anger,0.754
crazed,na -agụsi ike,ịpu ara,anger,0.75
dontmesswithme,echefula m,ejilam gwuo egwu,anger,0.75
profane,rụrụ arụ,rụrụ arụ,anger,0.75
aggravating,na -akawanye njọ,na -akawanye njọ,anger,0.75
offend,mejọọ,mejọọ,anger,0.75
horror,egwu,egwu,anger,0.75
revolting,na -enughari,na -enughari,anger,0.75
despise,nleda anya,nleda anya,anger,0.75
vulgarity,omume rụrụ arụ,omume rụrụ arụ,anger,0.75
growling,na -eti mkpu,na -eti mkpu,anger,0.75
stfu,stfu,stifu,anger,0.75
molestation,mmeko nwoke,mmeko nwoke,anger,0.742
fuckedoff,iberibe,iberibe,anger,0.742
erupt,gbawaa,gbawaa,anger,0.742
violence,ime ihe ike,ime ihe ike,anger,0.742
horrible,jọgburu onwe ya,jọgburu onwe ya,anger,0.742
screaming,iti mkpu,iti mkpu,anger,0.742
threat,egwu,egwu,anger,0.742
bastards,bastards,agụghị akwụkwọ,anger,0.741
revenge,imegwara,imegwara,anger,0.738
menacing,na -eyi egwu,na -eyi egwu,anger,0.735
crushing,na -etipịa,na -etipịa,anger,0.735
damn,Ụchụ,Ụchụ,anger,0.735
catastrophe,ọdachi,ọdachi,anger,0.735
demon,mmụọ ọjọọ,mmụọ ọjọọ,anger,0.735
argue,arụ ụka,arụ ụka,anger,0.734
fedup,o JULA m,o julam,anger,0.734
vehement,nsogbu,nsogbu,anger,0.734
thrash,thrash,egbukpọ,anger,0.734
warfare,agha,agha,anger,0.734
revolt,nnupụisi,nnupụisi,anger,0.734
flog,tie ihe,tie ihe,anger,0.734
deplore,inwe mwute,inwe mwute,anger,0.734
persecute,na -akpagbu,na -akpagbu,anger,0.734
riotous,ọgba aghara,ọgba aghara,anger,0.734
altercation,esemokwu,esemokwu,anger,0.729
warlike,dị ka agha,dị ka agha,anger,0.728
mutiny,mpako,mpako,anger,0.727
shitday,ụbọchị ihi ụra,ụbọchị ihi ụra,anger,0.727
sabotage,sabotage,sabotaji,anger,0.727
castrate,na -akụ,mkpebi,anger,0.727
strike,tie ihe,tie ihe,anger,0.721
malevolent,na -eme ihe ọjọọ,na -eme ihe ọjọọ,anger,0.721
disaster,ọdachi,ọdachi,anger,0.721
disastrous,ọdachi,ọdachi,anger,0.72
disdain,nleda anya,nleda anya,anger,0.719
choke,ịkpagbu,ịkpagbu,anger,0.719
arseholes,olulu mmiri,olulu mmiri,anger,0.719
devil,ekwensu,ekwensu,anger,0.719
scream,tie mkpu,tie mkpu,anger,0.719
spiteful,obi ilu,obi ilu,anger,0.719
bastarding,mpako,mpako,anger,0.719
scorching,na -ere ọkụ,na -ere ọkụ,anger,0.719
horseshit,horseshit,ehi,anger,0.719
treachery,aghụghọ,aghụghọ,anger,0.719
slay,gbuo,gbuo,anger,0.719
brutal,obi ojoo,obi ọjọọ,anger,0.719
tumult,ọgba aghara,ọgba aghara,anger,0.719
madden,onye ara,onye ara,anger,0.719
aggravates,na -akawanye njọ,na -akawanye njọ,anger,0.719
vermin,ụmụ ahụhụ,ụmụ ahụhụ,anger,0.719
anarchism,anarchism,anakizm,anger,0.714
mutilation,ibi ugwu,ibi ugwu,anger,0.714
mangle,mangle,igbu,anger,0.714
criminal,onye omekome,onye omekome,anger,0.714
punch,ntụmadị,ọkpọ,anger,0.713
denunciation,nkatọ,nkatọ,anger,0.713
holocaust,Oké mgbukpọ,Oké mgbukpọ,anger,0.712
blasphemous,nkwulu,nkwulu,anger,0.712
battled,lụrụ ọgụ,lụrụ ọgụ,anger,0.712
dumbasses,dumbasses,onye iberibe,anger,0.712
fatal,na -egbu egbu,na -egbu egbu,anger,0.712
virulence,ọrịa,ọrịa,anger,0.712
dontlikeyou,adịghị amasị gị,adịghị amasị gị,anger,0.712
hurting,na -afụ ụfụ,na -afụ ụfụ,anger,0.712
crucifixion,n'obe,n'obe,anger,0.712
deranged,mebiri,mebiri,anger,0.706
evil,ihe ọjọọ,ihe ọjọọ,anger,0.706
irritated,mgbakasị,mgbakasị,anger,0.706
atrocious,obi ojoo,obi ọjọọ,anger,0.706
assassin,ogbu mmadu,ogbu mmadụ,anger,0.703
intimidation,mmaja,iwakpo anya,anger,0.703
persecution,mkpagbu,mkpagbu,anger,0.703
slayer,ogbu mmadu,ogbu mmadu,anger,0.703
kidnap,tọọrọ,tọọrọ,anger,0.703
dicks,dicks,arọ,anger,0.703
scolding,ịba mba,ịba mba,anger,0.703
aggravated,ka njọ,ka njọ,anger,0.703
aggression,mwakpo,mbuso agha,anger,0.702
armed,jikere,jikere,anger,0.7
poison,nsi,nsi,anger,0.697
snarling,na -eti mkpu,na -eti mkpu,anger,0.697
venom,nsi,nsi,anger,0.697
battle,agha,agha,anger,0.697
disgruntled,ewe iwe,ewe iwe,anger,0.693
assailant,mwakpo,mwakpo,anger,0.691
insidious,aghụghọ,aghụghọ,anger,0.691
resentment,iwe,iwe,anger,0.691
contemptuous,nlelị,nlelị,anger,0.69
lynch,gbuo,gbuo,anger,0.69
lunatic,onye ara,onye ara,anger,0.688
mad,ara,ara,anger,0.688
peeved,peepe,iwe,anger,0.688
bully,iji ike emegbu mmadụ,iji ike emegbu mmadụ,anger,0.688
temper,iwe iwe,iwe iwe,anger,0.688
infanticide,igbu nwa,igbu nwa,anger,0.688
curse,ọbụbụ ọnụ,ọbụbụ ọnụ,anger,0.688
domination,ọchịchị,ọchịchị,anger,0.688
imprisonment,mkporo,mkpọrọ,anger,0.688
terrible,egwu,egwu,anger,0.688
disparage,nlelị,nlelị,anger,0.688
makesmemad,emememad,ịpụ ara,anger,0.688
volatility,volatility,ogwe,anger,0.687
eradication,mkpochapu,mkpochapụ,anger,0.685
scoundrel,onye njo,onye njọ,anger,0.682
eradicate,ikpochapu,ikpochpụ,anger,0.682
tantrum,iwe iwe,iwe iwe,anger,0.682
devastate,emebi,emebi,anger,0.682
agitation,mgbakasị ahụ,ọgba aghara,anger,0.68
aggressively,n'ike,n'ike,anger,0.68
irritates,na -ewe iwe,na -ewe iwe,anger,0.676
dictatorship,ọchịchị aka ike,ọchịchị aka ike,anger,0.676
profanity,okwu rere ure,okwu rere ure,anger,0.673
dastardly,dastardly,enweghị obi ike,anger,0.672
expletive,ihe ngosi,ihe ngosi,anger,0.672
wreak,mebie,igwụ egwu,anger,0.672
contempt,nlelị,nlelị,anger,0.672
crime,mpụ,mpụ,anger,0.672
poisonous,nsi,nsi,anger,0.672
nasty,mkpari,mkpari,anger,0.672
aggravation,njo,njọ,anger,0.672
condemnation,ikpe,ikpe,anger,0.672
egregious,dị egwu,mkpokọta,anger,0.672
shove,kpalie,kpalie,anger,0.672
shoot,gbaa,gbaa,anger,0.672
shot,gbara,gbara,anger,0.672
crushed,anuahade,gburu,anger,0.672
corrupting,na -emerụ emerụ,na -emerụ emerụ,anger,0.672
harmful,na -emerụ ahụ,na -emerụ ahụ,anger,0.672
cruelly,obi ọjọọ,obi ọjọọ,anger,0.672
maniac,maniac,onye ara,anger,0.67
irritable,mgbakasị ahụ,mgbakasị ahụ,anger,0.667
shooting,agbapụ,agbapụ,anger,0.667
