word,machine_translation,human_translation,label,emotion_intensity_score
outraged,fushi,fushi,anger,0.964
brutality,zalunci,zalunci,anger,0.959
hatred,ƙiyayya,ƙiyayya,anger,0.953
hateful,m,mai ƙiyayya,anger,0.94
terrorize,ta'addanci,ta'addanci,anger,0.939
infuriated,fusata,fusata,anger,0.938
violently,da karfi,da ƙarfi,anger,0.938
furious,fushi,fushi,anger,0.929
enraged,haushi,haushi,anger,0.927
furiously,cikin fushi,cikin fushi,anger,0.927
screwyou,dunƙule,dunƙule,anger,0.924
murderer,mai kisan kai,mai kisan kai,anger,0.922
fury,fushi,fushi,anger,0.922
execution,kisa,kisa,anger,0.917
angered,yayi fushi,ya yi fushi,anger,0.916
savagery,dabbanci,dabbanci,anger,0.915
slaughtering,yanka,yanka,anger,0.914
veryangry,veryangry,fushi sosai,anger,0.913
assassinate,kashe,kashe,anger,0.912
fuckoff,fuckoff,ɓace da gani,anger,0.912
annihilation,halaka,halaka,anger,0.912
rage,fushi,fushi,anger,0.911
loathe,ƙiyayya,ƙiyayya,anger,0.909
damnation,la'ana,la'ana,anger,0.906
roadrage,hanyar mota,hanyar mota,anger,0.906
homicidal,mai kisan kai,mai kisan kai,anger,0.906
furor,tashin hankali,tashin hankali,anger,0.9
hostile,maƙiya,mai adawa,anger,0.898
annihilate,halaka,halaka,anger,0.898
murder,kisan kai,kisan kai,anger,0.897
raging,fushi,fushi,anger,0.896
sopissed,sopissed,fusata sosai,anger,0.894
pissed,fusata,fusata,anger,0.894
rape,fyade,fyaɗe,anger,0.894
explosive,mai fashewa,mai fashewa,anger,0.894
obliterated,shafewa,shafewa,anger,0.894
vengeful,mai ɗaukar fansa,mai ɗaukar fansa,anger,0.894
ferocious,m,mai fushi,anger,0.894
infuriates,ya fusata,ya fusata,anger,0.894
killing,kisa,kisa,anger,0.893
combative,masu gwagwarmaya,masu gwagwarmaya,anger,0.891
gofuckyourself,kashe kanku,kashe kanku,anger,0.886
vengeance,ɗaukar fansa,ɗaukar fansa,anger,0.886
wrath,fushi,fushi,anger,0.885
torment,azaba,azaba,anger,0.885
vicious,mugu,mugu,anger,0.884
threatening,barazana,barazana,anger,0.882
massacre,kisan gilla,kisan gilla,anger,0.882
bloodthirsty,masu shan jini,masu shan jini,anger,0.875
abhorrent,abin ƙyama,abin ƙyama,anger,0.875
pissoff,pissoff,tashin hankali,anger,0.875
fighting,fada,faɗa,anger,0.868
annihilated,halaka,halaka,anger,0.865
attacking,kai hari,kai hari,anger,0.865
angriest,mai fushi,mai fushi,anger,0.864
bloodshed,zubar da jini,zubar da jini,anger,0.864
smite,buga,buga,anger,0.862
brawl,faɗa,faɗa,anger,0.861
assault,farmaki,farmaki,anger,0.859
assassination,kisa,kisa,anger,0.859
strangle,makure,maƙure,anger,0.859
explode,fashe,fashe,anger,0.859
malicious,mugu,mugu,anger,0.859
tirade,tirade,la'anta,anger,0.859
hostility,ƙiyayya,ƙiyayya,anger,0.859
loathsome,abin ƙyama,abin ƙyama,anger,0.857
attack,kai hari,kai hari,anger,0.853
hell,jahannama,wuta,anger,0.853
murderous,mai kisan kai,mai kisan kai,anger,0.853
malice,mugunta,mugunta,anger,0.852
terrorism,ta'addanci,ta'addanci,anger,0.851
beating,bugawa,bugawa,anger,0.849
pissingmeoff,pissingmeoff,ban haushi,anger,0.848
desecration,wulakanci,wulaƙanci,anger,0.848
outrage,fushi,fushi,anger,0.848
irate,fushi,fushi,anger,0.844
tumultuous,tashin hankali,tashin hankali,anger,0.844
destroying,lalata,lalata,anger,0.844
violent,tashin hankali,tashin hankali,anger,0.844
stab,soka,soka,anger,0.844
infuriate,fusata,fusata,anger,0.844
slaughter,yanka,yanka,anger,0.844
abomination,abin ƙyama,abin ƙyama,anger,0.844
obliterate,shafewa,shafewa,anger,0.843
dumbbitch,dumbbitch,masaniyar hali,anger,0.841
belligerent,masu faɗa,masu faɗa,anger,0.841
detest,abin ƙyama,abin ƙyama,anger,0.838
hostilities,tashin hankali,rashin jituwa,anger,0.837
prick,tsinke,tsinke,anger,0.835
cruelty,zalunci,zalunci,anger,0.833
horrid,tsoro,tsoro,anger,0.833
rampage,cin zarafi,cin zarafi,anger,0.833
rabid,rabid,tsaurin ra'ayi,anger,0.833
torture,azabtarwa,azabtarwa,anger,0.833
satanic,shaidan,na shaiɗan,anger,0.828
hate,ƙiyayya,ƙiyayya,anger,0.828
hating,ƙiyayya,ƙiyayya,anger,0.828
tyrannical,azzalumai,na zalunci,anger,0.828
demonic,na aljanu,na aljanu,anger,0.828
ragemode,fusata,fusata,anger,0.828
despicable,abin ƙyama,abin ƙyama,anger,0.828
ruinous,lalata,lalata,anger,0.825
condemn,hukunta,hukunta,anger,0.825
extermination,wargajewa,wargajewa,anger,0.824
riots,tarzoma,tarzoma,anger,0.824
dickhead,dickhead,kan al'aura,anger,0.824
angry,fushi,fushi,anger,0.824
demolish,rushe,rushe,anger,0.824
livid,livid,matsanancin fushi,anger,0.821
madman,mahaukaci,mahaukaci,anger,0.82
vindictive,mai fansa,mai fansa,anger,0.819
ferocity,ferocity,harzuƙa,anger,0.818
terrorist,yan ta'adda,yan ta'adda,anger,0.818
venomous,dafi,dafi,anger,0.818
threaten,yi barazana,yi barazana,anger,0.818
hateyou,ki jininka,ƙi jininka,anger,0.818
effyou,ku,matsanancin takaici,anger,0.818
abhor,abin ƙyama,abin ƙyama,anger,0.816
carnage,kashe -kashe,kashe -kashe,anger,0.814
savage,dabbanci,dabbanci,anger,0.814
atrocity,zalunci,zalunci,anger,0.814
fuming,kumbura,kumbura,anger,0.812
pissedoff,ji haushi,ji haushi,anger,0.812
pissesmeoff,pissesmeoff,ya ɓata min rai,anger,0.812
fierce,m,mai ƙarfi,anger,0.812
abuse,zagi,zagi,anger,0.812
barbaric,dabbanci,dabbanci,anger,0.812
berserk,hauka,hauka,anger,0.812
fucksake,fucksake,ɓacin rai,anger,0.812
vendetta,makwabta,gaba,anger,0.812
angrytweet,fushi,fushi,anger,0.812
destroyer,mai halakarwa,mai halakarwa,anger,0.812
tyrant,azzalumi,azzalumi,anger,0.812
anger,fushi,fushi,anger,0.811
pieceofshit,yanki na datti,yanki na datti,anger,0.81
slam,slam,rufe da ƙarfi,anger,0.803
punching,naushi,naushi,anger,0.803
homicide,kisan kai,kisan kai,anger,0.803
punched,naushi,naushi,anger,0.803
bitch,karkiya,karya,anger,0.803
fights,fada,faɗa,anger,0.803
destructive,mai halakarwa,mai halakarwa,anger,0.797
ruthless,marasa tausayi,marasa tausayi,anger,0.797
villainous,mugu,mugu,anger,0.797
slap,mari,mari,anger,0.791
destroyed,halaka,halaka,anger,0.788
ragetweet,ragetweet,tweet na fushi,anger,0.788
slaughterhouse,mayanka,mayanka,anger,0.788
retaliatory,ramuwar gayya,ramuwar gayya,anger,0.788
yelling,ihu,ihu,anger,0.788
riot,tarzoma,tarzoma,anger,0.788
punishing,azabtarwa,azabtarwa,anger,0.788
growthefuckup,girma,girma,anger,0.788
diabolical,diabolical,siffar ibilis,anger,0.788
clash,karo,karo,anger,0.783
manslaughter,kisan kai,kisan kai,anger,0.783
hellish,wuta,wuta,anger,0.781
bloody,na jini,na jini,anger,0.781
loath,raina,raina,anger,0.781
quarrel,rigima,rigima,anger,0.781
detonation,fashewa,fashewa,anger,0.781
sinister,mugu,mugu,anger,0.781
fumin,fumin,matsanancin haushi,anger,0.779
hateeee,ƙiyayya,ƙiyayya,anger,0.779
treacherous,mayaudari,mayaudari,anger,0.779
accusing,zargi,zargi,anger,0.779
madder,mahaukaci,mahaukaci,anger,0.773
retaliate,ramuwar gayya,ramuwar gayya,anger,0.773
revulsion,tayar da hankali,tayar da hankali,anger,0.773
horrific,m,na tsoratarwa,anger,0.773
scorn,rena,rena,anger,0.769
bomb,bam,bam,anger,0.766
deplorable,abin ƙyama,abin ƙyama,anger,0.766
anarchist,anarchist,mai ra'ayin shafe gwamnati,anger,0.765
devastation,barna,ɓarna,anger,0.765
resent,fushi,fushi,anger,0.765
firestorm,gobara,gobara,anger,0.765
contemptible,abin ƙyama,abin ƙyama,anger,0.764
shittest,shirme,shirme,anger,0.76
smash,fasa,fasa,anger,0.758
deadly,m,na haddasa mutuwa,anger,0.758
soangry,soangry,fushi ƙwarai,anger,0.758
rant,rantsuwa,rantsuwa,anger,0.758
cruel,zalunci,zalunci,anger,0.758
outburst,fita waje,fita waje,anger,0.757
snarl,kumbura,kumbura,anger,0.754
crazed,hauka,hauka,anger,0.75
dontmesswithme,ba tare da ni ba,ba tare da ni ba,anger,0.75
profane,ƙazanta,ƙazanta,anger,0.75
aggravating,m,yin muni,anger,0.75
douchebags,douchebags,ƙaramar allura,anger,0.75
offend,yi laifi,yi laifi,anger,0.75
horror,tsoro,tsoro,anger,0.75
revolting,tawaye,tawaye,anger,0.75
despise,raina,raina,anger,0.75
vulgarity,alfasha,alfasha,anger,0.75
growling,kuka,kuka,anger,0.75
stfu,stfu,rufe baki,anger,0.75
molestation,cin zarafi,cin zarafi,anger,0.742
fuckedoff,fuckedoff,ɓace,anger,0.742
erupt,fashe,fashe,anger,0.742
violence,tashin hankali,tashin hankali,anger,0.742
horrible,m,mai razanawa,anger,0.742
screaming,ihu,ihu,anger,0.742
threat,barazana,barazana,anger,0.742
bastards,banza,banza,anger,0.741
revenge,fansa,fansa,anger,0.738
menacing,tsoratarwa,tsoratarwa,anger,0.735
crushing,murkushewa,murƙushewa,anger,0.735
damn,Tsine,tsine,anger,0.735
catastrophe,bala'i,bala'i,anger,0.735
demon,aljani,aljani,anger,0.735
argue,jayayya,jayayya,anger,0.734
fedup,ciyarwa,ciyarwa,anger,0.734
vehement,zafi,zafi,anger,0.734
thrash,bugawa,bugawa,anger,0.734
warfare,yaƙi,yaƙi,anger,0.734
revolt,tawaye,tawaye,anger,0.734
flog,bulala,bulala,anger,0.734
deplore,baƙin ciki,baƙin ciki,anger,0.734
persecute,tsanantawa,tsanantawa,anger,0.734
riotous,rudani,ruɗani,anger,0.734
altercation,sabani,saɓani,anger,0.729
warlike,warlike,son yaƙi,anger,0.728
mutiny,tawaye,tawaye,anger,0.727
shitday,ranar soyayya,ranar soyayya,anger,0.727
sabotage,sabotage,maƙarƙashiya,anger,0.727
castrate,jifa,jifa,anger,0.727
strike,yajin aiki,yajin aiki,anger,0.721
malevolent,mugu,mugu,anger,0.721
disaster,bala'i,bala'i,anger,0.721
disastrous,m,mai bala'i,anger,0.72
disdain,rainawa,rainawa,anger,0.719
choke,shaƙa,shaƙa,anger,0.719
arseholes,arseholes,wawa,anger,0.719
devil,shaidan,shaiɗan,anger,0.719
